State,Quarter,Forecast,MAE,MPE
NORTH DAKOTA,2024-Q2,390213.03676650766,192908.355856836,15.796907273903246
OHIO,2023-Q3,20304.37030998599,1255.8030231700186,0.7898244848193946
OHIO,2023-Q4,17090.223797215654,1255.8030231700186,0.7898244848193946
OHIO,2024-Q1,17648.68308318426,1255.8030231700186,0.7898244848193946
OHIO,2024-Q2,17183.8235273136,1255.8030231700186,0.7898244848193946
OKLAHOMA,2023-Q3,22221.199499033093,9648.170545920919,-254.80569486997143
OKLAHOMA,2023-Q4,19706.926276143324,9648.170545920919,-254.80569486997143
OKLAHOMA,2024-Q1,26287.709792222224,9648.170545920919,-254.80569486997143
OKLAHOMA,2024-Q2,13655.631088944338,9648.170545920919,-254.80569486997143
OREGON,2023-Q3,114728.04974091359,15380.245537709605,-17.338187169535
OREGON,2023-Q4,102787.88300177631,15380.245537709605,-17.338187169535
OREGON,2024-Q1,100505.40800897742,15380.245537709605,-17.338187169535
OREGON,2024-Q2,96111.42478971675,15380.245537709605,-17.338187169535
PENNSYLVANIA,2023-Q3,34171.524230104355,7655.0521905035675,26.23109753966506
PENNSYLVANIA,2023-Q4,32785.13364297815,7655.0521905035675,26.23109753966506
PENNSYLVANIA,2024-Q1,31802.037536088414,7655.0521905035675,26.23109753966506
PENNSYLVANIA,2024-Q2,31865.19879379284,7655.0521905035675,26.23109753966506
SOUTH CAROLINA,2023-Q3,22488.300922962964,3197.0871277587307,-15.012793411861228
SOUTH CAROLINA,2023-Q4,16593.10477777544,3197.0871277587307,-15.012793411861228
SOUTH CAROLINA,2024-Q1,16223.861883855636,3197.0871277587307,-15.012793411861228
SOUTH CAROLINA,2024-Q2,15478.79063166307,3197.0871277587307,-15.012793411861228
SOUTH DAKOTA,2023-Q3,195647.0468407067,12196.88427597886,9.456656176027566
SOUTH DAKOTA,2023-Q4,174989.25879120815,12196.88427597886,9.456656176027566
SOUTH DAKOTA,2024-Q1,50949.61205449965,12196.88427597886,9.456656176027566
SOUTH DAKOTA,2024-Q2,140665.20374583872,12196.88427597886,9.456656176027566
TENNESSEE,2023-Q3,14041.82618846761,1808.6794330328557,5.794578248088503
TENNESSEE,2023-Q4,9805.74227628034,1808.6794330328557,5.794578248088503
TENNESSEE,2024-Q1,8461.419673371156,1808.6794330328557,5.794578248088503
TENNESSEE,2024-Q2,11154.721640786986,1808.6794330328557,5.794578248088503
TEXAS,2023-Q3,147373.4220521287,64345.34390984567,-9.838579565592582
TEXAS,2023-Q4,290115.98917679366,64345.34390984567,-9.838579565592582
TEXAS,2024-Q1,397661.7589282536,64345.34390984567,-9.838579565592582
TEXAS,2024-Q2,412327.091167089,64345.34390984567,-9.838579565592582
US TOTAL,2023-Q3,3764323.5012402656,181890.90085825662,-5.13946087293345
US TOTAL,2023-Q4,3884428.1489097243,181890.90085825662,-5.13946087293345
US TOTAL,2024-Q1,3376894.10563272,181890.90085825662,-5.13946087293345
US TOTAL,2024-Q2,3558194.178714776,181890.90085825662,-5.13946087293345
UTAH,2023-Q3,23403.236196009828,3115.914993681201,-13.67848380165678
UTAH,2023-Q4,21437.227207670876,3115.914993681201,-13.67848380165678
UTAH,2024-Q1,16222.875326344412,3115.914993681201,-13.67848380165678
UTAH,2024-Q2,18821.350740937152,3115.914993681201,-13.67848380165678
VERMONT,2023-Q3,9399.261623548315,1401.6050688570608,14.12618251181042
VERMONT,2023-Q4,9382.245249605345,1401.6050688570608,14.12618251181042
VERMONT,2024-Q1,9748.651379905188,1401.6050688570608,14.12618251181042
VERMONT,2024-Q2,9975.520839357174,1401.6050688570608,14.12618251181042
VIRGINIA,2023-Q3,10896.766175208057,2067.7303995852694,19.20351447222652
VIRGINIA,2023-Q4,9071.896357316919,2067.7303995852694,19.20351447222652
VIRGINIA,2024-Q1,8185.980553312888,2067.7303995852694,19.20351447222652
VIRGINIA,2024-Q2,8037.259035895316,2067.7303995852694,19.20351447222652
WASHINGTON,2023-Q3,104212.77392291091,13587.094863804694,2.7126605470836993
WASHINGTON,2023-Q4,82154.48158235422,13587.094863804694,2.7126605470836993
WASHINGTON,2024-Q1,107276.33636774878,13587.094863804694,2.7126605470836993
WASHINGTON,2024-Q2,105409.21496143668,13587.094863804694,2.7126605470836993
